,precision,recall,f1-score,support
angry,0.4426877470355731,0.35073068893528186,0.3913803145020385,958.0
disgust,0.5813953488372093,0.22522522522522523,0.3246753246753247,111.0
fear,0.38083832335329343,0.310546875,0.34211941904249593,1024.0
happy,0.6876288659793814,0.7519729425028185,0.7183629509962305,1774.0
neutral,0.47242380261248185,0.5279805352798054,0.4986595174262735,1233.0
sad,0.39628482972136225,0.41058540497193263,0.4033083891295786,1247.0
surprise,0.635875402792696,0.7123947051744886,0.6719636776390465,831.0
accuracy,0.5249373084424631,0.5249373084424631,0.5249373084424631,0.5249373084424631
macro avg,0.5138763314759996,0.46991948244136456,0.4786385133444269,7178.0
weighted avg,0.515957089404662,0.5249373084424631,0.5171164704441307,7178.0
