,precision,recall,f1-score,support
angry,0.6573116691285081,0.46450939457202506,0.5443425076452599,958.0
disgust,0.7157894736842105,0.6126126126126126,0.6601941747572815,111.0
fear,0.4687179487179487,0.4462890625,0.45722861430715356,1024.0
happy,0.8708240534521158,0.8816234498308907,0.8761904761904762,1774.0
neutral,0.6730158730158731,0.5158150851581509,0.5840220385674931,1233.0
sad,0.4746987951807229,0.6319165998396151,0.542139662882697,1247.0
surprise,0.6912621359223301,0.8567990373044525,0.7651800107469103,831.0
accuracy,0.6505990526609083,0.6505990526609083,0.6505990526609083,0.6505990526609083
macro avg,0.6502314213002443,0.6299378916882495,0.6327567835853245,7178.0
weighted avg,0.6589834306054166,0.6505990526609083,0.6477204797483661,7178.0
