,precision,recall,f1-score,support
angry,0.823170731707317,0.8333333333333334,0.8282208588957054,162.0
disgust,0.689922480620155,0.55625,0.615916955017301,160.0
fear,0.7735849056603774,0.5540540540540541,0.6456692913385828,74.0
happy,0.9421768707482994,0.9350210970464135,0.938585345192715,1185.0
neutral,0.8236130867709816,0.8514705882352941,0.8373101952277656,680.0
sad,0.8194444444444444,0.8640167364016736,0.8411405295315683,478.0
surprise,0.855457227138643,0.8814589665653495,0.8682634730538923,329.0
accuracy,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8653846153846154
macro avg,0.8181956781557455,0.7822292536623027,0.796443806893933,3068.0
weighted avg,0.8639709587577373,0.8653846153846154,0.863695059342241,3068.0
