,precision,recall,f1-score,support
anger,0.03435114503816794,0.16666666666666666,0.0569620253164557,162.0
contempt,0.0,0.0,0.0,0.0
disgust,0.1550925925925926,0.41875,0.22635135135135134,160.0
fear,0.14414414414414414,0.43243243243243246,0.21621621621621623,74.0
happy,0.9892802450229708,0.5451476793248945,0.7029379760609358,1185.0
sadness,0.6422018348623854,0.4393305439330544,0.5217391304347827,478.0
surprise,0.595108695652174,0.6656534954407295,0.6284074605451937,329.0
neutral,0.0,0.0,0.0,680.0
accuracy,0.39146023468057367,0.39146023468057367,0.39146023468057367,0.39146023468057367
macro avg,0.32002233216405435,0.3334976022247222,0.29407676999061694,3068.0
weighted avg,0.559356810711757,0.39146023468057367,0.440209558284513,3068.0
