,precision,recall,f1-score,support
angry,0.12206572769953052,0.16049382716049382,0.13866666666666666,162.0
disgust,0.0975609756097561,0.025,0.03980099502487563,160.0
fear,0.056,0.0945945945945946,0.07035175879396985,74.0
happy,0.4150772025431426,0.7713080168776372,0.5397106583997638,1185.0
neutral,0.4017094017094017,0.13823529411764707,0.20568927789934352,680.0
sad,0.3974358974358974,0.19456066945606695,0.2612359550561798,478.0
surprise,0.8421052631578947,0.0486322188449848,0.09195402298850575,329.0
accuracy,0.37614080834419816,0.37614080834419816,0.37614080834419816,0.37614080834419816
macro avg,0.3331363525936605,0.20468923157877492,0.19248704783275786,3068.0
weighted avg,0.414466842475296,0.37614080834419816,0.31570654778685786,3068.0
