,precision,recall,f1-score,support
angry,0.8041958041958042,0.7098765432098766,0.7540983606557377,162.0
disgust,0.6363636363636364,0.39375,0.4864864864864865,160.0
fear,0.66,0.44594594594594594,0.532258064516129,74.0
happy,0.8942229454841334,0.9274261603375528,0.9105219552609776,1185.0
neutral,0.7692307692307693,0.7941176470588235,0.7814761215629523,680.0
sad,0.7479838709677419,0.7761506276150628,0.7618069815195072,478.0
surprise,0.7936962750716332,0.8419452887537994,0.8171091445427727,329.0
accuracy,0.8142112125162972,0.8142112125162972,0.8142112125162972,0.8142112125162972
macro avg,0.7579561859019598,0.6984588875601515,0.7205367306492232,3068.0
weighted avg,0.8091041005197757,0.8142112125162972,0.809235265451833,3068.0
