,precision,recall,f1-score,support
angry,0.7515527950310559,0.7469135802469136,0.7492260061919505,162.0
disgust,0.5103448275862069,0.4625,0.4852459016393443,160.0
fear,0.7222222222222222,0.527027027027027,0.609375,74.0
happy,0.9091666666666667,0.920675105485232,0.9148846960167716,1185.0
neutral,0.7792592592592592,0.7735294117647059,0.7763837638376383,680.0
sad,0.7602459016393442,0.7761506276150628,0.7681159420289856,478.0
surprise,0.7855072463768116,0.8237082066869301,0.8041543026706232,329.0
accuracy,0.8125814863102999,0.8125814863102999,0.8125814863102999,0.8125814863102999
macro avg,0.7454712741116524,0.7186434226894102,0.7296265160550447,3068.0
weighted avg,0.8102801144038924,0.8125814863102999,0.8109234737038298,3068.0
