,precision,recall,f1-score,support
angry,0.6373056994818653,0.7592592592592593,0.6929577464788733,162.0
disgust,0.6086956521739131,0.4375,0.5090909090909091,160.0
fear,0.8888888888888888,0.43243243243243246,0.5818181818181818,74.0
happy,0.9411764705882353,0.8776371308016878,0.9082969432314411,1185.0
neutral,0.7443946188340808,0.7323529411764705,0.7383246849518161,680.0
sad,0.6655844155844156,0.8577405857740585,0.7495429616087753,478.0
surprise,0.7724550898203593,0.78419452887538,0.7782805429864253,329.0
accuracy,0.7923728813559322,0.7923728813559322,0.7923728813559322,0.7923728813559322
macro avg,0.7512144050531083,0.6973024111884698,0.708330281452346,3068.0
weighted avg,0.8018846607223431,0.7923728813559322,0.791882902094749,3068.0
