,precision,recall,f1-score,support
angry,0.47516198704103674,0.4592901878914405,0.46709129511677283,958.0
disgust,0.1829787234042553,0.7747747747747747,0.29604130808950085,111.0
fear,0.43570057581573896,0.2216796875,0.29385113268608415,1024.0
happy,0.8482142857142857,0.8032694475760992,0.8251302837290099,1774.0
neutral,0.4945407835581246,0.624493106244931,0.5519713261648745,1233.0
sad,0.4661857529305681,0.41459502806736165,0.4388794567062818,1247.0
surprise,0.6950819672131148,0.7653429602888087,0.7285223367697594,831.0
accuracy,0.5713290610197826,0.5713290610197826,0.5713290610197826,0.5713290610197826
macro avg,0.5139805822395892,0.5804921703347736,0.5144981627517548,7178.0
weighted avg,0.5844414724381902,0.5713290610197826,0.568164407725733,7178.0
