,precision,recall,f1-score,support
angry,0.7177914110429447,0.7222222222222222,0.7200000000000001,162.0
disgust,0.5487804878048781,0.5625,0.5555555555555556,160.0
fear,0.671875,0.581081081081081,0.6231884057971013,74.0
happy,0.9343832020997376,0.9012658227848102,0.9175257731958764,1185.0
neutral,0.7727272727272727,0.775,0.7738619676945667,680.0
sad,0.7591836734693878,0.7782426778242678,0.7685950413223142,478.0
surprise,0.7348066298342542,0.8085106382978723,0.7698986975397973,329.0
accuracy,0.809322033898305,0.809322033898305,0.809322033898305,0.809322033898305
macro avg,0.7342210967112106,0.7326889203157505,0.7326607773007445,3068.0
weighted avg,0.8119770709629429,0.809322033898305,0.8102425395795152,3068.0
