,precision,recall,f1-score,support
anger,0.851063829787234,0.8888888888888888,0.8695652173913044,45.0
contempt,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
disgust,0.9491525423728814,0.9491525423728814,0.9491525423728814,59.0
fear,0.9583333333333334,0.92,0.9387755102040817,25.0
happy,0.9857142857142858,1.0,0.9928057553956835,69.0
sadness,0.9230769230769231,0.8571428571428571,0.888888888888889,28.0
surprise,0.9759036144578314,0.9759036144578314,0.9759036144578314,83.0
accuracy,0.944954128440367,0.944954128440367,0.944954128440367,0.944954128440367
macro avg,0.9331619168044826,0.9257109702501924,0.9291400596570801,327.0
weighted avg,0.9453108416947965,0.944954128440367,0.9449306071831858,327.0
