,precision,recall,f1-score,support
angry,0.514370664023786,0.5417536534446764,0.5277071682765634,958.0
disgust,0.41545893719806765,0.7747747747747747,0.5408805031446542,111.0
fear,0.5132743362831859,0.2265625,0.3143631436314363,1024.0
happy,0.8351351351351352,0.870913190529876,0.8526490066225165,1774.0
neutral,0.5412087912087912,0.6390916463909164,0.5860914838229825,1233.0
sad,0.505358615004122,0.491579791499599,0.49837398373983743,1247.0
surprise,0.6670030272452069,0.7954271961492179,0.7255762897914381,831.0
accuracy,0.6191139593201449,0.6191139593201449,0.6191139593201449,0.6191139593201449
macro avg,0.570258500871185,0.6200146789698657,0.577948797004204,7178.0
weighted avg,0.6126745383614978,0.6191139593201449,0.6056234959569434,7178.0
