,precision,recall,f1-score,support
angry,0.5323609845031905,0.6096033402922756,0.5683698296836983,958.0
disgust,0.6302521008403361,0.6756756756756757,0.6521739130434783,111.0
fear,0.5113636363636364,0.3955078125,0.4460352422907489,1024.0
happy,0.8620488940628638,0.8348365276211951,0.8482245131729668,1774.0
neutral,0.5789871504157218,0.6212489862124899,0.5993740219092332,1233.0
sad,0.5126262626262627,0.4883720930232558,0.500205338809035,1247.0
surprise,0.7279489904357067,0.8243080625752106,0.7731376975169301,831.0
accuracy,0.6415436054611312,0.6415436054611312,0.6415436054611312,0.6415436054611312
macro avg,0.6222268598925311,0.6356503568428717,0.626788650918013,7178.0
weighted avg,0.6395838151380363,0.6415436054611312,0.63856807311297,7178.0
