,precision,recall,f1-score,support
angry,0.7052023121387283,0.7530864197530864,0.7283582089552239,162.0
disgust,0.47802197802197804,0.54375,0.5087719298245613,160.0
fear,0.5,0.581081081081081,0.5375,74.0
happy,0.9458955223880597,0.8556962025316456,0.8985378821444395,1185.0
neutral,0.7619738751814223,0.7720588235294118,0.7669831994156318,680.0
sad,0.7281553398058253,0.7845188284518828,0.7552870090634441,478.0
surprise,0.7834757834757835,0.8358662613981763,0.8088235294117648,329.0
accuracy,0.795632333767927,0.795632333767927,0.795632333767927,0.795632333767927
macro avg,0.700389258715971,0.7322939452493262,0.7148945369735806,3068.0
weighted avg,0.8059245454347868,0.795632333767927,0.7994193729058877,3068.0
